State,Total,,,American Indian/Alaska Native,,,Asian,,,Black,,,Hispanic,,,Pacific Islander,,,White,,,Two or more races,,
Alabama ,39.6,,(1.16),‡,,(†),50.8,,(9.11),35.7,,(2.16),31.5,,(3.83),‡,,(†),42.4,,(1.35),38.1,,(4.96)
Alaska ,21.3,,(2.59),11.3,!,(4.25),‡,,(†),‡,,(†),22.1,!,(9.56),‡,,(†),18.4,,(3.60),‡,,(†)
Arizona ,35.6,,(0.73),21.4,,(2.73),62.7,,(4.92),40.7,,(3.82),28.8,,(1.13),‡,,(†),41.5,,(1.14),35.6,,(3.37)
Arkansas ,31.7,,(1.31),‡,,(†),46.8,,(11.68),29.7,,(3.32),25.2,,(2.73),‡,,(†),34.2,,(1.69),25.6,,(4.23)
California ,46.6,,(0.37),41.3,,(5.86),66.2,,(0.89),37.7,,(1.61),40.4,,(0.49),43.7,,(5.10),49.9,,(0.71),54.2,,(1.52)
Colorado ,36.2,,(0.90),‡,,(†),55.4,,(4.35),33.2,,(4.44),26.9,,(1.80),‡,,(†),39.5,,(1.10),39.5,,(3.80)
Connecticut ,49.6,,(1.17),‡,,(†),71.4,,(3.80),43.6,,(3.62),44.1,,(2.63),‡,,(†),50.6,,(1.55),51.8,,(4.28)
Delaware ,44.9,,(2.61),‡,,(†),60.2,,(10.98),47.8,,(7.23),32.4,,(6.18),‡,,(†),45.5,,(2.24),42.8,,(10.60)
Florida ,40.3,,(0.56),66.2,,(13.01),58.2,,(2.30),35.4,,(1.34),40.3,,(0.95),‡,,(†),41.9,,(0.80),35.9,,(2.34)
Georgia ,38.1,,(0.69),‡,,(†),69.4,,(2.77),33.4,,(1.34),31.7,,(1.41),‡,,(†),40.7,,(0.97),40.9,,(3.06)
Hawaii ,38.9,,(1.66),‡,,(†),51.9,,(3.01),28.7,!,(11.90),31.1,,(5.29),32.4,,(5.19),32.2,,(3.74),38.9,,(3.82)
Idaho ,34.0,,(1.69),‡,,(†),‡,,(†),‡,,(†),23.1,,(4.80),‡,,(†),35.9,,(2.18),37.2,,(7.13)
Illinois ,41.2,,(0.58),‡,,(†),64.1,,(2.67),30.3,,(1.47),35.4,,(1.24),‡,,(†),45.1,,(1.00),36.2,,(3.44)
Indiana ,39.0,,(0.77),‡,,(†),72.5,,(3.62),28.2,,(2.49),29.0,,(2.27),‡,,(†),40.4,,(0.95),32.8,,(3.35)
Iowa ,46.1,,(1.29),‡,,(†),68.6,,(7.07),43.6,,(6.18),29.8,,(3.91),‡,,(†),46.8,,(1.56),56.2,,(6.70)
Kansas ,39.1,,(1.61),64.5,,(10.72),68.0,,(5.85),37.0,,(5.74),25.6,,(2.97),‡,,(†),42.1,,(1.82),25.4,,(4.63)
Kentucky ,37.7,,(0.88),‡,,(†),59.1,,(7.22),32.4,,(3.18),34.9,,(3.84),‡,,(†),38.0,,(1.02),38.8,,(4.88)
Louisiana ,36.7,,(1.14),‡,,(†),70.1,,(7.81),27.4,,(1.75),31.3,,(3.35),‡,,(†),43.3,,(1.71),29.0,,(5.93)
Maine ,41.3,,(2.09),‡,,(†),59.1,,(12.11),72.7,,(10.38),66.0,,(12.62),‡,,(†),38.7,,(2.20),52.1,,(10.92)
Maryland ,43.7,,(0.94),‡,,(†),70.8,,(2.83),44.6,,(1.82),30.4,,(1.68),‡,,(†),43.8,,(1.26),39.9,,(3.61)
Massachusetts ,51.8,,(0.78),‡,,(†),76.9,,(1.83),55.5,,(3.11),35.8,,(1.90),‡,,(†),53.1,,(1.07),45.9,,(3.14)
Michigan ,41.1,,(0.80),43.2,,(7.84),67.2,,(3.60),27.7,,(1.93),34.4,,(2.46),‡,,(†),43.6,,(0.98),35.2,,(3.27)
Minnesota ,38.8,,(1.21),16.2,!,(6.79),33.8,,(4.25),34.8,,(4.96),25.5,,(3.60),‡,,(†),41.4,,(1.39),41.0,,(4.74)
Mississippi ,38.0,,(1.25),‡,,(†),60.3,,(11.49),38.0,,(1.93),42.7,,(5.52),‡,,(†),38.2,,(1.92),22.0,,(5.36)
Missouri ,38.7,,(0.96),‡,,(†),70.6,,(5.43),28.8,,(3.04),35.4,,(3.40),‡,,(†),40.1,,(1.06),32.1,,(3.57)
Montana ,29.3,,(2.07),13.8,!,(4.41),‡,,(†),‡,,(†),33.8,,(8.50),‡,,(†),29.1,,(2.44),36.6,,(7.78)
Nebraska ,44.3,,(1.74),‡,,(†),‡,,(†),29.1,,(6.30),42.3,,(3.84),‡,,(†),45.6,,(2.19),45.4,,(7.57)
Nevada ,30.7,,(1.07),19.9,!,(8.82),51.7,,(4.16),23.4,,(4.25),25.2,,(1.49),‡,,(†),35.2,,(1.95),35.1,,(5.03)
New Hampshire ,42.6,,(2.04),‡,,(†),80.6,,(7.34),‡,,(†),41.6,,(7.20),‡,,(†),42.4,,(2.34),38.7,,(6.46)
New Jersey ,47.6,,(0.71),‡,,(†),68.4,,(1.78),45.9,,(2.16),37.8,,(1.26),‡,,(†),49.7,,(1.03),48.4,,(4.05)
New Mexico ,28.3,,(1.63),15.5,,(2.88),‡,,(†),37.8,,(10.97),26.4,,(2.21),‡,,(†),34.9,,(3.30),40.3,,(8.26)
New York ,48.9,,(0.52),68.8,,(8.52),68.8,,(1.41),42.5,,(1.34),41.8,,(1.21),‡,,(†),50.5,,(0.75),46.1,,(2.58)
North Carolina ,40.0,,(0.54),23.3,,(5.38),60.3,,(3.53),38.1,,(1.49),29.3,,(1.66),‡,,(†),42.6,,(0.78),37.0,,(3.13)
North Dakota ,45.6,,(3.04),‡,,(†),‡,,(†),‡,,(†),35.7,,(8.28),‡,,(†),49.7,,(3.41),‡,,(†)
Ohio ,39.4,,(0.71),‡,,(†),65.1,,(3.81),34.1,,(2.19),32.1,,(2.61),‡,,(†),40.4,,(0.81),33.3,,(2.25)
Oklahoma ,30.6,,(0.95),27.4,,(3.04),40.0,,(9.43),30.4,,(4.17),21.4,,(2.38),‡,,(†),34.1,,(1.19),27.2,,(2.49)
Oregon ,37.3,,(1.07),13.6,!,(5.62),67.3,,(3.72),41.2,,(6.62),32.1,,(2.48),‡,,(†),36.5,,(1.46),37.9,,(3.47)
Pennsylvania ,42.4,,(0.63),‡,,(†),76.0,,(2.55),35.5,,(2.33),28.4,,(1.79),‡,,(†),43.9,,(0.71),40.6,,(3.71)
Rhode Island ,56.8,,(1.77),‡,,(†),70.5,,(8.26),44.4,,(8.09),47.0,,(4.96),‡,,(†),61.2,,(2.14),56.6,,(7.22)
South Carolina ,38.0,,(0.96),‡,,(†),65.3,,(5.99),32.2,,(2.15),23.7,,(2.50),‡,,(†),42.1,,(1.13),39.4,,(4.16)
South Dakota ,39.1,,(2.44),15.8,!,(5.50),‡,,(†),‡,,(†),27.1,,(6.62),‡,,(†),41.3,,(3.02),‡,,(†)
Tennessee ,37.5,,(0.86),‡,,(†),61.9,,(4.96),31.5,,(2.27),24.9,,(2.56),‡,,(†),40.3,,(1.08),33.5,,(3.33)
Texas ,35.4,,(0.44),30.0,,(6.59),65.3,,(1.88),37.5,,(1.29),29.1,,(0.63),‡,,(†),39.4,,(0.83),40.3,,(2.54)
Utah ,39.8,,(0.93),29.4,!,(10.32),59.8,,(5.56),49.7,,(9.64),28.0,,(2.43),‡,,(†),42.0,,(1.26),37.3,,(4.61)
Vermont ,53.2,,(2.70),‡,,(†),‡,,(†),‡,,(†),‡,,(†),‡,,(†),49.6,,(3.02),80.9,,(7.71)
Virginia ,43.0,,(0.73),35.8,!,(12.51),60.1,,(2.32),37.8,,(1.83),34.1,,(2.35),‡,,(†),45.0,,(1.09),43.1,,(2.88)
Washington ,35.3,,(0.69),19.0,,(3.97),62.2,,(2.61),33.0,,(4.42),28.0,,(1.71),31.0,,(7.19),34.1,,(0.98),35.8,,(2.65)
West Virginia ,36.9,,(1.65),‡,,(†),‡,,(†),60.4,,(8.48),47.1,,(8.86),‡,,(†),35.8,,(1.63),36.1,,(7.90)
Wisconsin ,40.2,,(0.94),‡,,(†),54.5,,(5.79),23.2,,(4.06),32.6,,(3.91),‡,,(†),42.9,,(1.02),28.3,,(4.99)
Wyoming ,35.2,,(3.02),‡,,(†),‡,,(†),‡,,(†),45.6,,(9.98),‡,,(†),32.7,,(3.58),‡,,(†)